State,Participation,Evidence-Based Reading and Writing,Math,Total,,State,Participation,Evidence-Based Reading and Writing,Math,Total,,TRUE,TRUE,TRUE,TRUE
Alabama,6%,595,571,1166,,Alabama,595,595,571,1166,,FALSE,TRUE,TRUE,TRUE
Alaska,43%,562,544,1106,,Alaska,562,562,544,1106,,FALSE,TRUE,TRUE,TRUE
Arizona,29%,577,572,1149,,Arizona,577,577,572,1149,,FALSE,TRUE,TRUE,TRUE
Arkansas,5%,592,576,1169,,Arkansas,592,592,576,1169,,FALSE,TRUE,TRUE,TRUE
California,60%,540,536,1076,,California,540,540,536,1076,,FALSE,TRUE,TRUE,TRUE
Colorado,100%,519,506,1025,,Colorado,519,519,506,1025,,FALSE,TRUE,TRUE,TRUE
Connecticut,100%,535,519,1053,,Connecticut,535,535,519,1053,,FALSE,TRUE,TRUE,TRUE
Delaware,100%,505,492,998,,Delaware,505,505,492,998,,FALSE,TRUE,TRUE,TRUE
District of Columbia,92%,497,480,977,,District of Columbia,497,497,480,977,,FALSE,TRUE,TRUE,TRUE
Florida,97%,522,493,1014,,Florida,522,522,493,1014,,FALSE,TRUE,TRUE,TRUE
Georgia,70%,542,522,1064,,Georgia,542,542,522,1064,,FALSE,TRUE,TRUE,TRUE
Hawaii,56%,550,549,1099,,Hawaii,550,550,549,1099,,FALSE,TRUE,TRUE,TRUE
Idaho,100%,508,493,1001,,Idaho,508,508,493,1001,,FALSE,TRUE,TRUE,TRUE
Illinois,99%,513,506,1019,,Illinois,513,513,506,1019,,FALSE,TRUE,TRUE,TRUE
Indiana,67%,546,539,1086,,Indiana,546,546,539,1086,,FALSE,TRUE,TRUE,TRUE
Iowa,3%,634,631,1265,,Iowa,634,634,631,1265,,FALSE,TRUE,TRUE,TRUE
Kansas,4%,633,631,1265,,Kansas,633,633,631,1264,,FALSE,TRUE,TRUE,FALSE
Kentucky,4%,630,618,1248,,Kentucky,630,630,618,1248,,FALSE,TRUE,TRUE,TRUE
Louisiana,4%,615,595,1210,,Louisiana,615,615,595,1210,,FALSE,TRUE,TRUE,TRUE
Maine,99%,512,501,1013,,Maine,512,512,501,1013,,FALSE,TRUE,TRUE,TRUE
Maryland,76%,545,535,1080,,Maryland,545,545,535,1080,,FALSE,TRUE,TRUE,TRUE
Massachusetts,80%,562,563,1125,,Massachusetts,562,562,563,1125,,FALSE,TRUE,TRUE,TRUE
Michigan,100%,511,499,1011,,Michigan,511,511,499,1011,,FALSE,TRUE,TRUE,TRUE
Minnesota,4%,643,655,1298,,Minnesota,643,643,655,1298,,FALSE,TRUE,TRUE,TRUE
Mississippi,3%,630,606,1236,,Mississippi,630,630,606,1236,,FALSE,TRUE,TRUE,TRUE
Missouri,4%,633,629,1262,,Missouri,633,633,629,1262,,FALSE,TRUE,TRUE,TRUE
Montana,10%,606,592,1198,,Montana,606,606,592,1198,,FALSE,TRUE,TRUE,TRUE
Nebraska,3%,629,623,1252,,Nebraska,629,629,623,1252,,FALSE,TRUE,TRUE,TRUE
Nevada,23%,574,566,1140,,Nevada,574,574,566,1140,,FALSE,TRUE,TRUE,TRUE
New Hampshire,96%,535,528,1063,,New Hampshire,535,535,528,1063,,FALSE,TRUE,TRUE,TRUE
New Jersey,82%,547,547,1094,,New Jersey,547,547,547,1094,,FALSE,TRUE,TRUE,TRUE
New Mexico,16%,552,540,1093,,New Mexico,552,552,540,1093,,FALSE,TRUE,TRUE,TRUE
New York,79%,534,534,1068,,New York,534,534,534,1068,,FALSE,TRUE,TRUE,TRUE
North Carolina,52%,554,543,1098,,North Carolina,554,554,543,1098,,FALSE,TRUE,TRUE,TRUE
North Dakota,2%,640,643,1283,,North Dakota,640,640,643,1283,,FALSE,TRUE,TRUE,TRUE
Ohio,18%,552,547,1099,,Ohio,552,552,547,1099,,FALSE,TRUE,TRUE,TRUE
Oklahoma,8%,541,521,1062,,Oklahoma,541,541,521,1062,,FALSE,TRUE,TRUE,TRUE
Oregon,48%,564,553,1117,,Oregon,564,564,553,1117,,FALSE,TRUE,TRUE,TRUE
Pennsylvania,70%,547,539,1086,,Pennsylvania,547,547,539,1086,,FALSE,TRUE,TRUE,TRUE
Rhode Island,97%,513,505,1018,,Rhode Island,513,513,505,1018,,FALSE,TRUE,TRUE,TRUE
South Carolina,55%,547,523,1070,,South Carolina,547,547,523,1070,,FALSE,TRUE,TRUE,TRUE
South Dakota,3%,622,618,1241,,South Dakota,622,622,618,1241,,FALSE,TRUE,TRUE,TRUE
Tennessee,6%,624,607,1231,,Tennessee,624,624,607,1231,,FALSE,TRUE,TRUE,TRUE
Texas,66%,520,512,1032,,Texas,520,520,512,1032,,FALSE,TRUE,TRUE,TRUE
Utah,4%,618,612,1230,,Utah,618,618,612,1230,,FALSE,TRUE,TRUE,TRUE
Vermont,64%,565,554,1120,,Vermont,565,565,554,1120,,FALSE,TRUE,TRUE,TRUE
Virginia,68%,567,550,1117,,Virginia,567,567,550,1117,,FALSE,TRUE,TRUE,TRUE
Washington,69%,543,538,1081,,Washington,543,543,538,1081,,FALSE,TRUE,TRUE,TRUE
West Virginia,28%,513,486,999,,West Virginia,513,513,486,999,,FALSE,TRUE,TRUE,TRUE
Wisconsin,3%,641,653,1294,,Wisconsin,641,641,653,1294,,FALSE,TRUE,TRUE,TRUE
Wyoming,3%,633,625,1257,,Wyoming,633,633,625,1258,,FALSE,TRUE,TRUE,FALSE
